Date,Adj Close (^W5000)
8/7/2019,29605.83984
8/8/2019,30177.57031
8/9/2019,29945.65039
8/12/2019,29561.09961
8/13/2019,29979.51953
8/14/2019,29107.05078
8/15/2019,29156.38086
8/16/2019,29597.93945
8/19/2019,29938.93945
8/20/2019,29715.75
8/21/2019,29961.00977
8/22/2019,29936.82031
8/23/2019,29154.10938
8/26/2019,29461.43945
8/27/2019,29326.10938
8/28/2019,29523.63086
8/29/2019,29911.06055
8/30/2019,29925.34961
9/3/2019,29691.58008
9/4/2019,30014.28906
9/5/2019,30407.21094
9/6/2019,30398.67969
9/9/2019,30426.15039
9/10/2019,30467.94922
9/11/2019,30722.7207
9/12/2019,30785.63086
9/13/2019,30764.5
9/16/2019,30717.91992
9/17/2019,30780.63086
9/18/2019,30762.58008
9/19/2019,30750.09961
9/20/2019,30609.51953
9/23/2019,30606.5
9/24/2019,30302.32031
9/25/2019,30506.5
9/26/2019,30394.44922
9/27/2019,30204.05078
9/30/2019,30351.91992
10/1/2019,29815.98047
10/2/2019,29461.18945
10/3/2019,29698.58984
10/4/2019,30092.89063
10/7/2019,29976.5
10/8/2019,29504.89063
10/9/2019,29755.06055
10/10/2019,29924.41992
10/11/2019,30278.0293
10/14/2019,30225.69922
10/15/2019,30524.24023
10/16/2019,30450.92969
10/17/2019,30561.64063
10/18/2019,30432.73047
10/21/2019,30650.01953
10/22/2019,30544.80078
10/23/2019,30622.65039
10/24/2019,30699.53906
10/25/2019,30836.2207
10/28/2019,31009.26953
10/29/2019,30978.75977
10/30/2019,31062.98047
10/31/2019,30945.63086
11/1/2019,31267.17969
11/4/2019,31384.19922
11/5/2019,31351.53906
11/6/2019,31332.41016
11/7/2019,31417.25977
11/8/2019,31505.01953
11/11/2019,31447.58984
11/12/2019,31488.11914
11/13/2019,31497.25977
11/14/2019,31520.75
11/15/2019,31751.88086
11/18/2019,31760.49023
11/19/2019,31769.09961
11/20/2019,31665.88086
11/21/2019,31607.11914
11/22/2019,31679.2207
11/25/2019,31960.19922
11/26/2019,32028.64063
11/27/2019,32167.24023
11/29/2019,32025.85938
12/2/2019,31735.41992
12/3/2019,31540.68945
12/4/2019,31727.96094
12/5/2019,31757.92969
12/6/2019,32038.98047
12/9/2019,31949.19922
12/10/2019,31921.94922
12/11/2019,32001.43945
12/12/2019,32258.86914
12/13/2019,32241.16016
12/16/2019,32479.24023
12/17/2019,32503.67969
12/18/2019,32508.33008
12/19/2019,32654.28906
12/20/2019,32811.23047
12/23/2019,32840.60938
12/24/2019,32844.53906
12/26/2019,33006.66016
12/27/2019,32976.82031
12/30/2019,32788.76172
12/31/2019,32886.73828
1/2/2020,33142.19922
1/3/2020,32943.32813
1/6/2020,33065.14063
1/7/2020,32988.51953
1/8/2020,33134.98828
1/9/2020,33333.21094
1/10/2020,33237.14844
1/13/2020,33487.08984
1/14/2020,33469.83984
1/15/2020,33534.14844
1/16/2020,33827.73828
1/17/2020,33917.37891
1/21/2020,33817.58984
1/22/2020,33828.62891
1/23/2020,33862.46875
1/24/2020,33539.55859
1/27/2020,33028.76172
1/28/2020,33357.51953
1/29/2020,33322.07813
1/30/2020,33418.14844
1/31/2020,32838.19141
2/3/2020,33099.01953
2/4/2020,33609.67969
2/5/2020,33923.80078
2/6/2020,34012.21094
2/7/2020,33827.98047
2/10/2020,34070.17969
2/11/2020,34170.94922
2/12/2020,34403.23828
2/13/2020,34369.85156
2/14/2020,34428.33984
2/18/2020,34363.17188
