stfips,areatype,area,periodyear,periodtype,period,spdate,spvalue
00,00,000000,2019,68,274,2019-10-01T00:00:00,2940.25
00,00,000000,2019,68,275,2019-10-02T00:00:00,2887.61
00,00,000000,2019,68,276,2019-10-03T00:00:00,2910.63
00,00,000000,2019,68,277,2019-10-04T00:00:00,2952.01
00,00,000000,2019,68,280,2019-10-07T00:00:00,2938.79
00,00,000000,2019,68,281,2019-10-08T00:00:00,2893.06
00,00,000000,2019,68,282,2019-10-09T00:00:00,2919.4
00,00,000000,2019,68,283,2019-10-10T00:00:00,2938.13
00,00,000000,2019,68,284,2019-10-11T00:00:00,2970.27
00,00,000000,2019,68,287,2019-10-14T00:00:00,2966.15
00,00,000000,2019,68,288,2019-10-15T00:00:00,2995.68
00,00,000000,2019,68,289,2019-10-16T00:00:00,2989.69
00,00,000000,2019,68,290,2019-10-17T00:00:00,2997.95
00,00,000000,2019,68,291,2019-10-18T00:00:00,2986.2
00,00,000000,2019,68,294,2019-10-21T00:00:00,3006.72
00,00,000000,2019,68,295,2019-10-22T00:00:00,2995.99
00,00,000000,2019,68,296,2019-10-23T00:00:00,3004.52
00,00,000000,2019,68,297,2019-10-24T00:00:00,3010.29
00,00,000000,2019,68,298,2019-10-25T00:00:00,3022.55
00,00,000000,2019,68,301,2019-10-28T00:00:00,3039.42
00,00,000000,2019,68,302,2019-10-29T00:00:00,3036.89
00,00,000000,2019,68,303,2019-10-30T00:00:00,3046.77
00,00,000000,2019,68,304,2019-10-31T00:00:00,3037.56
00,00,000000,2019,68,305,2019-11-01T00:00:00,3066.91
00,00,000000,2019,68,308,2019-11-04T00:00:00,3078.27
00,00,000000,2019,68,309,2019-11-05T00:00:00,3074.62
00,00,000000,2019,68,310,2019-11-06T00:00:00,3076.78
00,00,000000,2019,68,311,2019-11-07T00:00:00,3085.18
00,00,000000,2019,68,312,2019-11-08T00:00:00,3093.08
00,00,000000,2019,68,315,2019-11-11T00:00:00,3087.01
00,00,000000,2019,68,316,2019-11-12T00:00:00,3091.84
00,00,000000,2019,68,317,2019-11-13T00:00:00,3094.04
00,00,000000,2019,68,318,2019-11-14T00:00:00,3096.63
00,00,000000,2019,68,319,2019-11-15T00:00:00,3120.46
00,00,000000,2019,68,322,2019-11-18T00:00:00,3122.03
00,00,000000,2019,68,323,2019-11-19T00:00:00,3120.18
00,00,000000,2019,68,324,2019-11-20T00:00:00,3108.46
00,00,000000,2019,68,325,2019-11-21T00:00:00,3103.54
00,00,000000,2019,68,326,2019-11-22T00:00:00,3110.29
00,00,000000,2019,68,329,2019-11-25T00:00:00,3133.64
00,00,000000,2019,68,330,2019-11-26T00:00:00,3140.52
00,00,000000,2019,68,331,2019-11-27T00:00:00,3153.63
00,00,000000,2019,68,333,2019-11-29T00:00:00,3140.98
00,00,000000,2019,68,336,2019-12-02T00:00:00,3113.87
00,00,000000,2019,68,337,2019-12-03T00:00:00,3093.2
00,00,000000,2019,68,338,2019-12-04T00:00:00,3112.76
00,00,000000,2019,68,339,2019-12-05T00:00:00,3117.43
00,00,000000,2019,68,340,2019-12-06T00:00:00,3145.91
00,00,000000,2019,68,343,2019-12-09T00:00:00,3135.96
00,00,000000,2019,68,344,2019-12-10T00:00:00,3132.52
00,00,000000,2019,68,345,2019-12-11T00:00:00,3141.63
00,00,000000,2019,68,346,2019-12-12T00:00:00,3168.57
00,00,000000,2019,68,347,2019-12-13T00:00:00,3168.8
00,00,000000,2019,68,350,2019-12-16T00:00:00,3191.45
00,00,000000,2019,68,351,2019-12-17T00:00:00,3192.52
00,00,000000,2019,68,352,2019-12-18T00:00:00,3191.14
00,00,000000,2019,68,353,2019-12-19T00:00:00,3205.37
00,00,000000,2019,68,354,2019-12-20T00:00:00,3221.22
00,00,000000,2019,68,357,2019-12-23T00:00:00,3224.01
00,00,000000,2019,68,358,2019-12-24T00:00:00,3223.38
00,00,000000,2019,68,360,2019-12-26T00:00:00,3239.91
00,00,000000,2019,68,361,2019-12-27T00:00:00,3240.02
00,00,000000,2019,68,364,2019-12-30T00:00:00,3221.29
00,00,000000,2019,68,365,2019-12-31T00:00:00,3230.78
00,00,000000,2020,68,2,2020-01-02T00:00:00,3257.85
00,00,000000,2020,68,3,2020-01-03T00:00:00,3234.85
00,00,000000,2020,68,6,2020-01-06T00:00:00,3246.28
00,00,000000,2020,68,7,2020-01-07T00:00:00,3237.18
00,00,000000,2020,68,8,2020-01-08T00:00:00,3253.05
00,00,000000,2020,68,9,2020-01-09T00:00:00,3274.7
00,00,000000,2020,68,10,2020-01-10T00:00:00,3265.35
00,00,000000,2020,68,13,2020-01-13T00:00:00,3288.13
00,00,000000,2020,68,14,2020-01-14T00:00:00,3283.15
00,00,000000,2020,68,15,2020-01-15T00:00:00,3289.29
00,00,000000,2020,68,16,2020-01-16T00:00:00,3316.81
00,00,000000,2020,68,17,2020-01-17T00:00:00,3329.62
00,00,000000,2020,68,21,2020-01-21T00:00:00,3320.79
00,00,000000,2020,68,22,2020-01-22T00:00:00,3321.75
00,00,000000,2020,68,23,2020-01-23T00:00:00,3325.54
00,00,000000,2020,68,24,2020-01-24T00:00:00,3295.47
00,00,000000,2020,68,27,2020-01-27T00:00:00,3243.63
00,00,000000,2020,68,28,2020-01-28T00:00:00,3276.24
00,00,000000,2020,68,29,2020-01-29T00:00:00,3273.4
00,00,000000,2020,68,30,2020-01-30T00:00:00,3283.66
00,00,000000,2020,68,31,2020-01-31T00:00:00,3225.52
00,00,000000,2020,68,34,2020-02-03T00:00:00,3248.92
00,00,000000,2020,68,35,2020-02-04T00:00:00,3297.59
00,00,000000,2020,68,36,2020-02-05T00:00:00,3334.69
00,00,000000,2020,68,37,2020-02-06T00:00:00,3345.78
00,00,000000,2020,68,38,2020-02-07T00:00:00,3327.71
00,00,000000,2020,68,41,2020-02-10T00:00:00,3352.09
00,00,000000,2020,68,42,2020-02-11T00:00:00,3357.75
00,00,000000,2020,68,43,2020-02-12T00:00:00,3379.45
00,00,000000,2020,68,44,2020-02-13T00:00:00,3373.94
00,00,000000,2020,68,45,2020-02-14T00:00:00,3380.16
00,00,000000,2020,68,49,2020-02-18T00:00:00,3370.29
00,00,000000,2020,68,50,2020-02-19T00:00:00,3386.15
00,00,000000,2020,68,51,2020-02-20T00:00:00,3373.23
00,00,000000,2020,68,52,2020-02-21T00:00:00,3337.75
00,00,000000,2020,68,55,2020-02-24T00:00:00,3225.89
00,00,000000,2020,68,56,2020-02-25T00:00:00,3128.21
00,00,000000,2020,68,57,2020-02-26T00:00:00,3116.39
00,00,000000,2020,68,58,2020-02-27T00:00:00,2978.76
00,00,000000,2020,68,59,2020-02-28T00:00:00,2954.22
00,00,000000,2020,68,62,2020-03-02T00:00:00,3090.23
00,00,000000,2020,68,63,2020-03-03T00:00:00,3003.37
00,00,000000,2020,68,64,2020-03-04T00:00:00,3130.12
00,00,000000,2020,68,65,2020-03-05T00:00:00,3023.94
00,00,000000,2020,68,66,2020-03-06T00:00:00,2972.37
00,00,000000,2020,68,69,2020-03-09T00:00:00,2746.56
00,00,000000,2020,68,70,2020-03-10T00:00:00,2882.23
00,00,000000,2020,68,71,2020-03-11T00:00:00,2741.38
00,00,000000,2020,68,72,2020-03-12T00:00:00,2480.64
00,00,000000,2020,68,73,2020-03-13T00:00:00,2711.02
00,00,000000,2020,68,76,2020-03-16T00:00:00,2386.13
00,00,000000,2020,68,77,2020-03-17T00:00:00,2529.19
00,00,000000,2020,68,78,2020-03-18T00:00:00,2398.1
00,00,000000,2020,68,79,2020-03-19T00:00:00,2409.39
00,00,000000,2020,68,80,2020-03-20T00:00:00,2304.92
00,00,000000,2020,68,83,2020-03-23T00:00:00,2237.4
00,00,000000,2020,68,84,2020-03-24T00:00:00,2447.33
00,00,000000,2020,68,85,2020-03-25T00:00:00,2475.56
00,00,000000,2020,68,86,2020-03-26T00:00:00,2630.07
00,00,000000,2020,68,87,2020-03-27T00:00:00,2541.47
00,00,000000,2020,68,90,2020-03-30T00:00:00,2626.65
00,00,000000,2020,68,91,2020-03-31T00:00:00,2584.59
00,00,000000,2020,68,92,2020-04-01T00:00:00,2470.5
00,00,000000,2020,68,93,2020-04-02T00:00:00,2526.9
00,00,000000,2020,68,94,2020-04-03T00:00:00,2488.65
00,00,000000,2020,68,97,2020-04-06T00:00:00,2663.68
00,00,000000,2020,68,98,2020-04-07T00:00:00,2659.41
00,00,000000,2020,68,99,2020-04-08T00:00:00,2749.98
00,00,000000,2020,68,100,2020-04-09T00:00:00,2789.82
00,00,000000,2020,68,104,2020-04-13T00:00:00,2761.63
00,00,000000,2020,68,105,2020-04-14T00:00:00,2846.06
00,00,000000,2020,68,106,2020-04-15T00:00:00,2783.36
00,00,000000,2020,68,107,2020-04-16T00:00:00,2799.55
00,00,000000,2020,68,108,2020-04-17T00:00:00,2874.56
00,00,000000,2020,68,111,2020-04-20T00:00:00,2823.16
00,00,000000,2020,68,112,2020-04-21T00:00:00,2736.56
00,00,000000,2020,68,113,2020-04-22T00:00:00,2799.31
00,00,000000,2020,68,114,2020-04-23T00:00:00,2797.8
00,00,000000,2020,68,115,2020-04-24T00:00:00,2836.74
