Date,Adj Close (^GSPC),Volume (^GSPC)
1/14/2020,3283.149902,3665130000
1/15/2020,3289.290039,3716840000
1/16/2020,3316.810059,3535080000
1/17/2020,3329.620117,3698170000
1/21/2020,3320.790039,4105340000
1/22/2020,3321.75,3619850000
1/23/2020,3325.540039,3764860000
1/24/2020,3295.469971,3707130000
1/27/2020,3243.629883,3823100000
1/28/2020,3276.23999,3526720000
1/29/2020,3273.399902,3584500000
1/30/2020,3283.659912,3787250000
1/31/2020,3225.52002,4527830000
2/3/2020,3248.919922,3757910000
2/4/2020,3297.590088,3995320000
2/5/2020,3334.689941,4117730000
2/6/2020,3345.780029,3868370000
2/7/2020,3327.709961,3730650000
2/10/2020,3352.090088,3450350000
2/11/2020,3357.75,3760550000
2/12/2020,3379.449951,3926380000
2/13/2020,3373.939941,3498240000
2/14/2020,3380.159912,3398040000
2/18/2020,3370.290039,3746720000
2/19/2020,3386.149902,3600150000
2/20/2020,3373.22998,4007320000
2/21/2020,3337.75,3899270000
2/24/2020,3225.889893,4842960000
2/25/2020,3128.209961,5591510000
2/26/2020,3116.389893,5478110000
2/27/2020,2978.76001,7058840000
2/28/2020,2954.219971,8563850000
3/2/2020,3090.22998,6376400000
3/3/2020,3003.370117,6355940000
3/4/2020,3130.120117,5035480000
3/5/2020,3023.939941,5575550000
3/6/2020,2972.370117,6552140000
3/9/2020,2746.560059,8423050000
3/10/2020,2882.22998,7635960000
3/11/2020,2741.379883,7374110000
3/12/2020,2480.639893,8829380000
3/13/2020,2711.02002,8258670000
3/16/2020,2386.129883,7781540000
3/17/2020,2529.189941,8358500000
3/18/2020,2398.100098,8755780000
3/19/2020,2409.389893,7946710000
3/20/2020,2304.919922,9044690000
3/23/2020,2237.399902,7402180000
3/24/2020,2447.330078,7547350000
3/25/2020,2475.560059,8285670000
3/26/2020,2630.070068,7753160000
3/27/2020,2541.469971,6194330000
3/30/2020,2626.649902,5746220000
3/31/2020,2584.590088,6568290000
4/1/2020,2470.5,5947900000
4/2/2020,2526.899902,6454990000
4/3/2020,2488.649902,6087190000
4/6/2020,2663.679932,6391860000
4/7/2020,2659.409912,7040720000
4/8/2020,2749.97998,5856370000
4/9/2020,2789.820068,7880140000
4/13/2020,2761.629883,5274310000
4/14/2020,2846.060059,5567400000
4/15/2020,2783.360107,5203390000
4/16/2020,2799.550049,5179990000
4/17/2020,2874.560059,5792140000
4/20/2020,2823.159912,5220160000
4/21/2020,2736.560059,5075830000
4/22/2020,2799.310059,5049660000
4/23/2020,2797.800049,5756520000
4/24/2020,2836.73999,5374480000
4/27/2020,2878.47998,5194260000
4/28/2020,2863.389893,5672880000
4/29/2020,2939.51001,6620140000
4/30/2020,2912.429932,6523120000
5/1/2020,2830.709961,4753160000
