key_0,Adj Close (^GSPC),DGS10 [%],T10YIE[%],Confirmed COVID-19 cases,Recovered COVID-19 cases,Deaths due to COVID-19 ,Initial unemployment claims (Seasonally adjusted),Weekly U.S. All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly U.S. No 2 Diesel Retail Prices  (Dollars per Gallon)
2019-05-07,2884.050049,2.45,1.87,0,0,0,217000,2.954,3.16
2019-05-08,2879.419922,2.49,1.87,0,0,0,217000,2.954,3.16
2019-05-09,2870.719971,2.45,1.85,0,0,0,217000,2.954,3.16
2019-05-10,2881.399902,2.47,1.88,0,0,0,217000,2.954,3.16
2019-05-11,2881.399902,2.47,1.88,0,0,0,217000,2.954,3.16
2019-05-12,2881.399902,2.47,1.88,0,0,0,213000,2.954,3.16
2019-05-13,2811.870117,2.4,1.85,0,0,0,213000,2.954,3.16
2019-05-14,2834.409912,2.42,1.86,0,0,0,213000,2.939,3.163
2019-05-15,2850.959961,2.37,1.83,0,0,0,213000,2.939,3.163
2019-05-16,2876.320068,2.4,1.84,0,0,0,213000,2.939,3.163
2019-05-17,2859.530029,2.39,1.81,0,0,0,213000,2.939,3.163
2019-05-18,2859.530029,2.39,1.81,0,0,0,213000,2.939,3.163
2019-05-19,2859.530029,2.39,1.81,0,0,0,218000,2.939,3.163
2019-05-20,2840.22998,2.41,1.81,0,0,0,218000,2.939,3.163
2019-05-21,2864.360107,2.43,1.83,0,0,0,218000,2.909,3.151
2019-05-22,2856.27002,2.39,1.79,0,0,0,218000,2.909,3.151
2019-05-23,2822.23999,2.31,1.73,0,0,0,218000,2.909,3.151
2019-05-24,2826.060059,2.32,1.76,0,0,0,218000,2.909,3.151
2019-05-25,2826.060059,2.32,1.76,0,0,0,218000,2.909,3.151
2019-05-26,2826.060059,2.32,1.76,0,0,0,220000,2.909,3.151
2019-05-27,2826.060059,2.32,1.76,0,0,0,220000,2.909,3.151
2019-05-28,2802.389893,2.26,1.73,0,0,0,220000,2.893,3.136
2019-05-29,2783.02002,2.25,1.75,0,0,0,220000,2.893,3.136
2019-05-30,2788.860107,2.22,1.74,0,0,0,220000,2.893,3.136
2019-05-31,2752.060059,2.14,1.74,0,0,0,220000,2.893,3.136
2019-06-01,2752.060059,2.14,1.74,0,0,0,220000,2.893,3.136
2019-06-02,2752.060059,2.14,1.74,0,0,0,220000,2.893,3.136
2019-06-03,2744.449951,2.07,1.73,0,0,0,220000,2.893,3.136
2019-06-04,2803.27002,2.12,1.74,0,0,0,220000,2.821,3.105
2019-06-05,2826.149902,2.12,1.75,0,0,0,220000,2.821,3.105
2019-06-06,2843.48999,2.12,1.73,0,0,0,220000,2.821,3.105
2019-06-07,2873.340088,2.09,1.74,0,0,0,220000,2.821,3.105
2019-06-08,2873.340088,2.09,1.74,0,0,0,220000,2.821,3.105
2019-06-09,2873.340088,2.09,1.74,0,0,0,219000,2.821,3.105
2019-06-10,2886.72998,2.15,1.73,0,0,0,219000,2.821,3.105
2019-06-11,2885.719971,2.15,1.72,0,0,0,219000,2.759,3.07
2019-06-12,2879.840088,2.13,1.71,0,0,0,219000,2.759,3.07
2019-06-13,2891.639893,2.1,1.68,0,0,0,219000,2.759,3.07
2019-06-14,2886.97998,2.09,1.63,0,0,0,219000,2.759,3.07
2019-06-15,2886.97998,2.09,1.63,0,0,0,219000,2.759,3.07
2019-06-16,2886.97998,2.09,1.63,0,0,0,224000,2.759,3.07
2019-06-17,2889.669922,2.09,1.61,0,0,0,224000,2.759,3.07
2019-06-18,2917.75,2.06,1.64,0,0,0,224000,2.741,3.043
2019-06-19,2926.459961,2.03,1.67,0,0,0,224000,2.741,3.043
2019-06-20,2954.179932,2.01,1.74,0,0,0,224000,2.741,3.043
2019-06-21,2950.459961,2.07,1.73,0,0,0,224000,2.741,3.043
2019-06-22,2950.459961,2.07,1.73,0,0,0,224000,2.741,3.043
2019-06-23,2950.459961,2.07,1.73,0,0,0,222000,2.741,3.043
